Timestamp,What department/school/institution are you based in? Please use the three digit acronym in your UEA email signature.  ,Would you class yourself or those in your household as moderate risk or high risk (see here: https://bit.ly/3ikNYxv) from COVID-19?,"What is your ethnicity? We are using the HESA/UEA categories, so please feel free to leave this question blank if you do not believe these categories correctly identify your ethnicity. ",What kind of contract(s) are you employed on at UEA?,Have you undertaken any face-to-face learning activities so far this term?,How satisfied are you with UEA's response to the resumption of face-to-face learning activities?,"How satisfed are you with the training and support available to staff to aid ""blended"" or fully online learning approaches?",Which of the following statements match your feelings about the resumption of face-to-face learning activities? (Tick all that apply),How strongly do you agree with the following statements? [The changes to learning necessary this year have led to an increase in my workload],How strongly do you agree with the following statements? [My workload concerns have been acknowledged by my line manager and adequate steps have been taken to ensure I am not overworked.],How strongly do you agree with the following statements? [My workload this term is manageable],How strongly do you agree with the following statements? [My workload this term is having a negative impact on my mental and/or physical wellbeing],How strongly do you agree with the following statements? [I know how to raise any workload concerns I may have],Which of the following statements match your feelings about face-to-face learning activities? (Tick all that apply),How strongly do agree with the following statements? [UEA staff should be providing every student with two hours face-to-face contact per week],How strongly do agree with the following statements? [All teaching should be delivered online with the exception of practical classes where this is not possible],How strongly do agree with the following statements? [UEA staff should be providing students with more than two hours per week face to face teaching],How strongly do agree with the following statements? [I feel relaxed about the prospect of delivering face-to-face learning activities],How strongly do agree with the following statements? [I am concerned about catching COVID-19 and/or spreading it to others as a result of face to face teaching],How strongly do agree with the following statements? [I feel that I can discuss concerns about face to face teaching with my line manager],"Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There should be a faculty level discussion to determine which labs are essential to ensure degree quality, and which are optional.]",Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [Only essential skills and labs should be being taught face to face. All other labs should be taught by online demonstration.],Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There is sufficient PPE provided to make these teaching sessions safe enough.],Please outline any further thoughts - positive or negative - you have about face-to-face learning activities in the Autumn 2020 semester,The National UCU position is that teaching should be online this semester unless there is a clear reason why this activity needs to happen face-to-face (such as practical laboratory sessions).  Do you agree with this position?,UEA has indicated it wishes to increase face-to-face learning activities from week five.  Should UCU UEA oppose this?,What would you like the branch to do in response to the resumption of face-to-face learning activities and are there any other comments you would like to leave for the committee?,"May we quote your written responses in any future reports, communications, or ongoing discussions with management?"
10/6/2020 8:40:18,BIO,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",2,2,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result, I don't know how to effectively voice my concerns",Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Disagree,Example commentary from the survey would be included here,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:40:51,ENV,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,5,I don't/didn't have concerns about resuming face-to-face learning activities,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,I don't have any concerns about face-to-face learning activities,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,This comment should not appear,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:41:18,ENV,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,4,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,,,,Second example comments,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:41:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2020 8:41:49,BIO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,7,7,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has decreased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I feel my concerns are heard and appropriate actions are taken,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,,,,Third example comments,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:42:02,AMA,Myself and one or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",2,5,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Question UEA’s commitment to its duty of care to staff and students,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:42:08,FTM,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,5,My concern about resuming face-to-face learning activities has increased since the start of September,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:42:25,LDC,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,3,3,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:43:37,HIS,Myself and one or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",4,2,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Agree,Agree,Agree,Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","Survey students (all years, or 1st years at least) about how THEY feel regarding face to face. After week one many are very disappointed with the lack of discussion they can have in face to face seminar groups comapred to online. Actually ask the students what they think.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:43:55,BIO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,6,,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,,,,This comment should not appear,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
